               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.091171,            0.035766,            0.019037,                   0,                   0,                   0,                   0,            0.081741,            0.046383,            0.018329,              0.0973,              0.0003,              0.0003
                   1,            0.099642,            0.030635,            0.022516,                   0,                   0,                   0,                   0,            0.081368,            0.047031,            0.018329,            0.093699,          0.00069861,          0.00069861
                   2,             0.11951,            0.038275,            0.025268,                   0,                   0,                   0,                   0,            0.081137,            0.046673,            0.018329,            0.090096,           0.0010956,           0.0010956
                   3,            0.087648,            0.030886,             0.01878,                   0,                   0,                   0,                   0,            0.081029,            0.047009,            0.018317,            0.086491,           0.0014911,           0.0014911
                   4,            0.087198,             0.03918,            0.018614,                   0,                   0,                   0,                   0,            0.080688,            0.047539,            0.018311,            0.082885,            0.001885,            0.001885
                   5,            0.085788,            0.033491,            0.018056,                   0,                   0,                   0,                   0,            0.080487,              0.0476,            0.018304,            0.079277,           0.0022772,           0.0022772
                   6,              0.1003,              0.0331,            0.020218,                   0,                   0,                   0,                   0,            0.080206,            0.047478,            0.018292,            0.075668,           0.0026679,           0.0026679
                   7,            0.096878,             0.04327,            0.020616,                   0,                   0,                   0,                   0,            0.079984,            0.047813,            0.018268,            0.072057,            0.003057,            0.003057
                   8,            0.085669,            0.036781,            0.017863,                   0,                   0,                   0,                   0,            0.079762,            0.048122,             0.01825,            0.068445,           0.0034446,           0.0034446
                   9,            0.093128,              0.0366,            0.020097,                   0,                   0,                   0,                   0,            0.079573,            0.048393,            0.018231,            0.064831,           0.0038305,           0.0038305
                  10,            0.081338,            0.032275,            0.018773,                   0,                   0,                   0,                   0,             0.07937,            0.048668,            0.018213,            0.061215,           0.0042149,           0.0042149
                  11,            0.081359,            0.032435,            0.017882,                   0,                   0,                   0,                   0,            0.079186,            0.048912,            0.018188,            0.057598,           0.0045976,           0.0045976
                  12,            0.085025,            0.033061,             0.01744,                   0,                   0,                   0,                   0,            0.079029,            0.049099,            0.018164,            0.053979,           0.0049788,           0.0049788
                  13,            0.084258,            0.041824,            0.017079,                   0,                   0,                   0,                   0,            0.078824,            0.048985,            0.018121,            0.050358,           0.0053584,           0.0053584
                  14,            0.083342,             0.03406,            0.017663,                   0,                   0,                   0,                   0,            0.078655,            0.049221,            0.018091,            0.046736,           0.0057365,           0.0057365
                  15,             0.10213,            0.044263,            0.021973,                   0,                   0,                   0,                   0,            0.078655,            0.049221,            0.018091,            0.043113,           0.0061129,           0.0061129
                  16,             0.11514,            0.041511,            0.023762,                   0,                   0,                   0,                   0,            0.078549,            0.049335,             0.01806,            0.039488,           0.0064877,           0.0064877
                  17,            0.094315,            0.039813,            0.019828,                   0,                   0,                   0,                   0,            0.078489,            0.049362,            0.018005,            0.035861,            0.006861,            0.006861
                  18,              0.1049,            0.034856,            0.022144,                   0,                   0,                   0,                   0,            0.078489,            0.049362,            0.018005,            0.032233,           0.0072327,           0.0072327
                  19,             0.11427,            0.040606,             0.02422,                   0,                   0,                   0,                   0,            0.078447,            0.049408,            0.017932,            0.028603,           0.0076028,           0.0076028
                  20,            0.081636,            0.033484,             0.01757,                   0,                   0,                   0,                   0,            0.078487,            0.049351,            0.017834,            0.024971,           0.0079713,           0.0079713
                  21,            0.090754,             0.02953,            0.019359,                   0,                   0,                   0,                   0,            0.078487,            0.049351,            0.017834,            0.021338,           0.0083383,           0.0083383
                  22,            0.073736,            0.035244,            0.014759,                   0,                   0,                   0,                   0,            0.078838,            0.048683,            0.017719,            0.017704,           0.0087036,           0.0087036
                  23,             0.11402,            0.040552,            0.022923,                   0,                   0,                   0,                   0,            0.078838,            0.048683,            0.017719,            0.014067,           0.0090674,           0.0090674
