                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.9747,                 18.536,                   1.63,                0.73068,                0.11534,                0.06234,                0.03725,                 2.7668,                 4.9586,                 0.9873,              5.001e-05,              5.001e-05,              5.001e-05
                      2,                 3.1197,                 12.272,                 1.3469,                0.00278,                  0.125,                0.01608,                0.01116,                 2.6869,                 4.9978,                0.96894,             0.00011646,             0.00011646,             0.00011646
                      3,                 3.8981,                 8.7985,                 1.5217,                0.00065,                  0.125,                0.00048,                0.00034,                 2.7433,                 4.7931,                0.99412,             0.00018264,             0.00018264,             0.00018264
                      4,                 2.2136,                 6.8915,                 0.9432,                0.59581,                0.16667,                0.09012,                0.03055,                 2.6382,                 3.2687,                 0.9789,             0.00024856,             0.00024856,             0.00024856
                      5,                 3.0697,                 4.2041,                  1.242,                0.45023,                0.26499,                0.29497,                0.09393,                 2.6573,                 2.6021,                 1.0412,             0.00031422,             0.00031422,             0.00031422
                      6,                 3.0598,                 3.3384,                 1.0881,                 0.1761,                 0.3869,                 0.1821,                0.05567,                 2.7405,                 3.0916,                 1.0455,             0.00037961,             0.00037961,             0.00037961
                      7,                 2.8662,                 4.0172,                 1.0522,                0.06786,                0.44048,                0.14329,                0.04347,                 2.8227,                   4.41,                 1.0409,             0.00044474,             0.00044474,             0.00044474
                      8,                 2.5527,                 4.0044,                 1.0855,                0.26129,                0.19048,                0.21446,                0.05929,                 2.7728,                 3.2284,                 1.0285,             0.00050961,             0.00050961,             0.00050961
                      9,                 2.6794,                 2.7335,                 1.0509,                0.30936,                0.44048,                0.19677,                0.05477,                 2.5526,                 8.0842,                 1.0171,             0.00057421,             0.00057421,             0.00057421
                     10,                 2.8952,                 2.7529,                 1.0866,                 0.1824,                0.39286,                0.13302,                 0.0448,                 2.5599,                 37.227,                 1.0193,             0.00063854,             0.00063854,             0.00063854
                     11,                 3.0285,                 2.8569,                 1.1155,                0.14874,                0.50002,                0.13038,                0.04366,                 2.4726,                 53.559,                0.99935,             0.00070262,             0.00070262,             0.00070262
                     12,                  2.932,                 2.7729,                 1.0981,                0.13521,                0.58929,                0.12328,                 0.0369,                 2.6455,                 41.753,                 1.0107,             0.00076643,             0.00076643,             0.00076643
                     13,                  2.649,                 2.6529,                  1.059,                0.15079,                0.11905,                0.11166,                0.03483,                 2.6439,                 44.375,                 1.0135,             0.00082997,             0.00082997,             0.00082997
                     14,                 3.0994,                 2.4492,                 1.1453,                0.15517,                0.25726,                0.21067,                0.06414,                 2.5743,                 11.242,                 1.0046,             0.00089325,             0.00089325,             0.00089325
                     15,                 2.6234,                 2.4028,                 1.0631,                0.26128,                 0.3631,                0.26458,                0.08753,                 2.6555,                 3.0662,                 1.0108,             0.00095627,             0.00095627,             0.00095627
                     16,                 2.5413,                 1.9804,                 1.1482,                0.26128,                 0.3631,                0.26458,                0.08753,                 2.6555,                 3.0662,                 1.0108,               0.001019,               0.001019,               0.001019
                     17,                 2.9042,                 2.1946,                 1.1026,                 0.4056,                0.55033,                0.35785,                0.11601,                 2.4763,                 2.4611,                0.98118,              0.0010815,              0.0010815,              0.0010815
                     18,                  2.898,                 2.3051,                 1.1126,                0.30697,                0.53571,                 0.2688,                0.09147,                 2.4427,                 3.1093,                0.97491,              0.0011437,              0.0011437,              0.0011437
                     19,                 2.6761,                  2.384,                 1.0383,                0.30697,                0.53571,                 0.2688,                0.09147,                 2.4427,                 3.1093,                0.97491,              0.0012057,              0.0012057,              0.0012057
                     20,                 2.5736,                 2.4039,                 1.0157,                0.07978,                  0.625,                0.11839,                0.03823,                 2.5799,                 21.145,                0.98685,              0.0012674,              0.0012674,              0.0012674
                     21,                 2.4304,                 2.6214,                 1.0221,                 0.6424,                0.28571,                  0.163,                0.05414,                 2.7072,                  4.318,                 1.0523,              0.0013288,              0.0013288,              0.0013288
                     22,                 2.8341,                  2.483,                0.95881,                 0.6424,                0.28571,                  0.163,                0.05414,                 2.7072,                  4.318,                 1.0523,                0.00139,                0.00139,                0.00139
                     23,                 2.9806,                 2.3937,                 1.1609,                0.13376,                 0.5119,                0.19439,                0.06072,                 2.4979,                 2.4657,                0.99304,              0.0014509,              0.0014509,              0.0014509
                     24,                 2.8464,                 2.2679,                 1.0908,                0.13376,                 0.5119,                0.19439,                0.06072,                 2.4979,                 2.4657,                0.99304,              0.0015115,              0.0015115,              0.0015115
                     25,                 3.0251,                 2.2516,                 1.1728,                0.16274,                0.28571,                0.21144,                0.07358,                 2.3762,                 2.0638,                0.99567,              0.0015719,              0.0015719,              0.0015719
                     26,                 2.5221,                 2.1362,                 1.0502,                0.16274,                0.28571,                0.21144,                0.07358,                 2.3762,                 2.0638,                0.99567,              0.0015845,              0.0015845,              0.0015845
                     27,                 2.6341,                 2.1092,                   1.05,                0.13766,                0.28571,                0.18203,                 0.0659,                 2.4155,                 2.2513,                0.99666,              0.0015812,              0.0015812,              0.0015812
                     28,                 2.7483,                  2.047,                 1.0754,                0.13766,                0.28571,                0.18203,                 0.0659,                 2.4155,                 2.2513,                0.99666,              0.0015779,              0.0015779,              0.0015779
                     29,                 2.5492,                 1.9998,                 1.0653,                0.09533,                 0.2381,                0.09048,                 0.0349,                 2.4559,                 5.5359,                  1.004,              0.0015746,              0.0015746,              0.0015746
                     30,                 2.4741,                 2.0161,                 1.0718,                0.09533,                 0.2381,                0.09048,                 0.0349,                 2.4559,                 5.5359,                  1.004,              0.0015713,              0.0015713,              0.0015713
                     31,                 2.6463,                 2.0949,                  1.029,                0.09258,                0.28571,                0.09111,                0.03671,                 2.5149,                 4.9198,                 1.0214,               0.001568,               0.001568,               0.001568
                     32,                  2.748,                 1.9257,                 1.0939,                0.09258,                0.28571,                0.09111,                0.03671,                 2.5149,                 4.9198,                 1.0214,              0.0015647,              0.0015647,              0.0015647
                     33,                  2.456,                 2.0846,                 1.0067,                0.59263,                0.30919,                0.45778,                0.14526,                 2.4688,                   3.71,                0.99335,              0.0015614,              0.0015614,              0.0015614
                     34,                 2.6046,                 1.7063,                 1.0578,                0.59263,                0.30919,                0.45778,                0.14526,                 2.4688,                   3.71,                0.99335,              0.0015581,              0.0015581,              0.0015581
                     35,                 2.5679,                  2.069,                 1.0749,                0.30953,                0.23243,                0.26649,                0.07035,                 2.4716,                 2.3455,                0.98131,              0.0015548,              0.0015548,              0.0015548
                     36,                 2.9743,                 2.1656,                 1.0473,                0.30953,                0.23243,                0.26649,                0.07035,                 2.4716,                 2.3455,                0.98131,              0.0015515,              0.0015515,              0.0015515
                     37,                 2.1705,                 1.9922,                 1.0639,                0.86361,                0.19048,                 0.2975,                0.12467,                 2.2978,                 1.9028,                0.93723,              0.0015482,              0.0015482,              0.0015482
                     38,                 2.6158,                 1.9644,                 1.0662,                0.86361,                0.19048,                 0.2975,                0.12467,                 2.2978,                 1.9028,                0.93723,              0.0015449,              0.0015449,              0.0015449
                     39,                 2.6086,                  1.933,                 1.0193,                0.79094,                0.33333,                  0.393,                0.17163,                 2.2783,                 2.2839,                0.92887,              0.0015416,              0.0015416,              0.0015416
                     40,                 2.7276,                 1.9051,                 1.0687,                0.79094,                0.33333,                  0.393,                0.17163,                 2.2783,                 2.2839,                0.92887,              0.0015383,              0.0015383,              0.0015383
                     41,                 2.6614,                 1.9147,                 1.0385,                0.73364,                 0.3869,                0.48173,                0.15539,                  2.433,                 1.7926,                0.96485,               0.001535,               0.001535,               0.001535
                     42,                 2.7808,                 2.0656,                 1.0681,                0.73364,                 0.3869,                0.48173,                0.15539,                  2.433,                 1.7926,                0.96485,              0.0015317,              0.0015317,              0.0015317
                     43,                 2.5113,                  1.739,                 1.0793,                0.53036,                0.43452,                0.47109,                0.14048,                  2.605,                 2.4769,                 1.0014,              0.0015284,              0.0015284,              0.0015284
                     44,                 2.2639,                 1.7929,                0.93348,                0.53036,                0.43452,                0.47109,                0.14048,                  2.605,                 2.4769,                 1.0014,              0.0015251,              0.0015251,              0.0015251
                     45,                 2.6749,                 1.8231,                 1.0804,                0.51311,                0.45833,                0.37484,                0.12305,                 2.9384,                 4.2803,                 1.1241,              0.0015218,              0.0015218,              0.0015218
